epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2789.25,0.61742,0.72355,0.95484,0.78612,0.86896,0.90723,0.78911,0.58935,0.6098,0.87016,0.0002377,0.0002377,0.0002377
79,2821.92,0.61575,0.69859,0.95864,0.78764,0.87472,0.89044,0.77191,0.59155,0.641,0.87217,0.0002278,0.0002278,0.0002278
80,2854.11,0.61829,0.69803,0.96057,0.8148,0.77732,0.88434,0.76723,0.59202,0.63621,0.87704,0.0002179,0.0002179,0.0002179
81,2887.41,0.61031,0.70707,0.95623,0.80843,0.82608,0.88438,0.7707,0.5909,0.63846,0.87422,0.000208,0.000208,0.000208
82,2918.79,0.61555,0.68965,0.96061,0.81362,0.77951,0.86525,0.75347,0.59036,0.66861,0.87504,0.0001981,0.0001981,0.0001981
83,2950.8,0.60707,0.69285,0.95295,0.79919,0.81064,0.87812,0.76484,0.59978,0.6605,0.87159,0.0001882,0.0001882,0.0001882
84,2983.82,0.60259,0.70668,0.95803,0.71383,0.88783,0.86836,0.75581,0.59429,0.69666,0.87516,0.0001783,0.0001783,0.0001783
85,3015.34,0.60807,0.70685,0.9548,0.79969,0.81398,0.86901,0.75675,0.59109,0.6494,0.86882,0.0001684,0.0001684,0.0001684
86,3049.21,0.61062,0.69967,0.95656,0.69938,0.91397,0.86033,0.74688,0.59624,0.682,0.87043,0.0001585,0.0001585,0.0001585
87,3080.52,0.60992,0.68454,0.95249,0.85393,0.77488,0.89584,0.78216,0.58556,0.61302,0.86791,0.0001486,0.0001486,0.0001486
88,3114.44,0.60031,0.66941,0.95348,0.81082,0.80836,0.88542,0.76969,0.59529,0.64519,0.876,0.0001387,0.0001387,0.0001387
89,3145.93,0.60907,0.67662,0.95791,0.80644,0.8313,0.89449,0.77584,0.58992,0.60918,0.87418,0.0001288,0.0001288,0.0001288
90,3178.32,0.60975,0.67474,0.95803,0.79014,0.8097,0.86797,0.7538,0.58767,0.6643,0.87125,0.0001189,0.0001189,0.0001189
91,3212.06,0.55438,0.52479,0.88369,0.78222,0.87795,0.89832,0.783,0.58665,0.60611,0.87694,0.000109,0.000109,0.000109
92,3242.62,0.55469,0.52263,0.88142,0.73414,0.87731,0.87125,0.75658,0.58844,0.63182,0.87899,9.91e-05,9.91e-05,9.91e-05
93,3275.27,0.55219,0.50537,0.88542,0.72995,0.90357,0.89763,0.77841,0.58808,0.60156,0.88107,8.92e-05,8.92e-05,8.92e-05
94,3305.83,0.55534,0.47939,0.88237,0.74651,0.88088,0.8895,0.76901,0.58424,0.62474,0.88254,7.93e-05,7.93e-05,7.93e-05
95,3336.5,0.54945,0.48881,0.87979,0.76623,0.86883,0.8933,0.7812,0.58177,0.62337,0.8783,6.94e-05,6.94e-05,6.94e-05
96,3368.37,0.54675,0.48186,0.87939,0.7653,0.88095,0.89464,0.7802,0.5835,0.61727,0.8762,5.95e-05,5.95e-05,5.95e-05
97,3399.26,0.54627,0.46677,0.88149,0.77171,0.86066,0.87231,0.7604,0.57997,0.66011,0.87431,4.96e-05,4.96e-05,4.96e-05
98,3430.52,0.54799,0.47231,0.87949,0.79198,0.83769,0.88731,0.7779,0.57887,0.63654,0.87376,3.97e-05,3.97e-05,3.97e-05
99,3463.01,0.54383,0.46794,0.88217,0.8434,0.79179,0.88864,0.77702,0.58249,0.62753,0.87352,2.98e-05,2.98e-05,2.98e-05
100,3493.48,0.54428,0.46336,0.87502,0.82923,0.79596,0.87845,0.7684,0.58031,0.65602,0.87194,1.99e-05,1.99e-05,1.99e-05
